Tick,Time,Source,Target,Edge_Type,Weight
1,08:00,Bob,CEO VIX,TRUST,7.0
1,08:00,Dave,CEO VIX,TRUST,7.0
1,08:00,Mark,CEO VIX,TRUST,7.0
1,08:00,Alice,CEO VIX,TRUST,7.0
2,08:30,Dave,CEO VIX,TRUST,7.0
2,08:30,Mark,CEO VIX,TRUST,7.0
2,08:30,Alice,CEO VIX,TRUST,7.0
2,08:30,Alice,BOB,SUSPICION,2.0
2,08:30,Bob,CEO VIX,TRUST,7.0
3,09:00,Dave,CEO VIX,TRUST,7.0
3,09:00,Dave,BOB,SUSPICION,2.0
3,09:00,Bob,CEO VIX,TRUST,7.0
3,09:00,Alice,CEO VIX,TRUST,7.0
3,09:00,Alice,BOB,SUSPICION,3.5
3,09:00,Mark,CEO VIX,TRUST,7.0
4,09:30,Alice,CEO VIX,TRUST,7.0
4,09:30,Alice,BOB,SUSPICION,5.0
4,09:30,Dave,CEO VIX,TRUST,7.0
4,09:30,Dave,BOB,SUSPICION,3.5
4,09:30,Bob,CEO VIX,TRUST,7.0
4,09:30,Bob,MARK,SUSPICION,2.0
4,09:30,Mark,CEO VIX,TRUST,7.0
5,10:00,Mark,CEO VIX,TRUST,7.0
5,10:00,Mark,BOB,SUSPICION,2.0
5,10:00,Alice,CEO VIX,TRUST,7.0
5,10:00,Alice,BOB,SUSPICION,4.5
5,10:00,Bob,CEO VIX,TRUST,7.0
5,10:00,Bob,MARK,SUSPICION,1.5
5,10:00,Dave,CEO VIX,TRUST,7.0
5,10:00,Dave,BOB,SUSPICION,3.0
6,10:30,Mark,CEO VIX,TRUST,7.0
6,10:30,Mark,DAVE,SUSPICION,2.0
6,10:30,Mark,BOB,SUSPICION,1.5
6,10:30,Alice,CEO VIX,TRUST,7.0
6,10:30,Alice,DAVE,SUSPICION,2.0
6,10:30,Alice,BOB,SUSPICION,4.0
6,10:30,Dave,CEO VIX,TRUST,7.0
6,10:30,Dave,BOB,SUSPICION,4.5
6,10:30,Bob,CEO VIX,TRUST,7.0
6,10:30,Bob,MARK,SUSPICION,1.0
7,11:00,Alice,CEO VIX,TRUST,7.0
7,11:00,Alice,DAVE,SUSPICION,1.5
7,11:00,Alice,BOB,SUSPICION,3.5
7,11:00,Dave,CEO VIX,TRUST,7.0
7,11:00,Dave,BOB,SUSPICION,6.0
7,11:00,Mark,CEO VIX,TRUST,7.0
7,11:00,Mark,DAVE,SUSPICION,1.5
7,11:00,Mark,BOB,SUSPICION,1.0
7,11:00,Bob,CEO VIX,TRUST,7.0
7,11:00,Bob,DAVE,SUSPICION,2.0
7,11:00,Bob,MARK,SUSPICION,0.5
8,11:30,Mark,CEO VIX,TRUST,7.0
8,11:30,Mark,DAVE,SUSPICION,1.0
8,11:30,Mark,BOB,SUSPICION,2.5
8,11:30,Alice,CEO VIX,TRUST,7.0
8,11:30,Alice,DAVE,SUSPICION,1.0
8,11:30,Alice,MARK,SUSPICION,2.0
8,11:30,Alice,BOB,SUSPICION,3.0
8,11:30,Bob,CEO VIX,TRUST,7.0
8,11:30,Bob,DAVE,SUSPICION,1.5
8,11:30,Dave,CEO VIX,TRUST,7.0
8,11:30,Dave,BOB,SUSPICION,7.5
9,12:00,Alice,CEO VIX,TRUST,7.0
9,12:00,Alice,DAVE,SUSPICION,0.5
9,12:00,Alice,MARK,SUSPICION,3.5
9,12:00,Alice,BOB,SUSPICION,2.5
9,12:00,Mark,CEO VIX,TRUST,7.0
9,12:00,Mark,DAVE,SUSPICION,0.5
9,12:00,Mark,BOB,SUSPICION,2.0
9,12:00,Dave,CEO VIX,TRUST,7.0
9,12:00,Dave,BOB,SUSPICION,7.0
9,12:00,Bob,CEO VIX,TRUST,7.0
9,12:00,Bob,DAVE,SUSPICION,3.0
10,12:30,Mark,CEO VIX,TRUST,7.0
10,12:30,Mark,BOB,SUSPICION,3.5
10,12:30,Dave,CEO VIX,TRUST,7.0
10,12:30,Dave,BOB,SUSPICION,6.5
10,12:30,Alice,CEO VIX,TRUST,7.0
10,12:30,Alice,MARK,SUSPICION,3.0
10,12:30,Alice,BOB,SUSPICION,4.0
10,12:30,Bob,CEO VIX,TRUST,7.0
10,12:30,Bob,DAVE,SUSPICION,4.5
11,13:00,Alice,CEO VIX,TRUST,7.0
11,13:00,Alice,MARK,SUSPICION,2.5
11,13:00,Alice,BOB,SUSPICION,5.5
11,13:00,Mark,CEO VIX,TRUST,7.0
11,13:00,Mark,BOB,SUSPICION,5.0
11,13:00,Dave,CEO VIX,TRUST,7.0
11,13:00,Dave,BOB,SUSPICION,8.0
11,13:00,Bob,CEO VIX,TRUST,7.0
11,13:00,Bob,DAVE,SUSPICION,4.0
12,13:30,Dave,CEO VIX,TRUST,7.0
12,13:30,Dave,BOB,SUSPICION,9.5
12,13:30,Bob,CEO VIX,TRUST,7.0
12,13:30,Bob,DAVE,SUSPICION,3.5
12,13:30,Bob,MARK,SUSPICION,2.0
12,13:30,Mark,CEO VIX,TRUST,7.0
12,13:30,Mark,BOB,SUSPICION,6.5
12,13:30,Alice,CEO VIX,TRUST,7.0
12,13:30,Alice,MARK,SUSPICION,2.0
12,13:30,Alice,BOB,SUSPICION,5.0
13,14:00,Dave,CEO VIX,TRUST,7.0
13,14:00,Dave,BOB,SUSPICION,10.0
13,14:00,Mark,CEO VIX,TRUST,7.0
13,14:00,Mark,BOB,SUSPICION,8.0
13,14:00,Bob,CEO VIX,TRUST,7.0
13,14:00,Bob,DAVE,SUSPICION,5.0
13,14:00,Bob,MARK,SUSPICION,1.5
13,14:00,Alice,CEO VIX,TRUST,7.0
13,14:00,Alice,MARK,SUSPICION,1.5
13,14:00,Alice,BOB,SUSPICION,4.5
14,14:30,Alice,CEO VIX,TRUST,7.0
14,14:30,Alice,DAVE,SUSPICION,2.0
14,14:30,Alice,MARK,SUSPICION,1.0
14,14:30,Alice,BOB,SUSPICION,4.0
14,14:30,Mark,CEO VIX,TRUST,7.0
14,14:30,Mark,BOB,SUSPICION,9.5
14,14:30,Dave,CEO VIX,TRUST,7.0
14,14:30,Dave,BOB,SUSPICION,10.0
14,14:30,Bob,CEO VIX,TRUST,7.0
14,14:30,Bob,DAVE,SUSPICION,4.5
14,14:30,Bob,MARK,SUSPICION,1.0
15,15:00,Bob,CEO VIX,TRUST,7.0
15,15:00,Bob,DAVE,SUSPICION,4.0
15,15:00,Bob,MARK,SUSPICION,2.5
15,15:00,Dave,CEO VIX,TRUST,7.0
15,15:00,Dave,BOB,SUSPICION,10.0
15,15:00,Alice,CEO VIX,TRUST,7.0
15,15:00,Alice,DAVE,SUSPICION,1.5
15,15:00,Alice,MARK,SUSPICION,0.5
15,15:00,Alice,BOB,SUSPICION,3.5
15,15:00,Mark,CEO VIX,TRUST,7.0
15,15:00,Mark,BOB,SUSPICION,10.0
16,15:30,Mark,CEO VIX,TRUST,7.0
16,15:30,Mark,BOB,SUSPICION,10.0
16,15:30,Dave,CEO VIX,TRUST,7.0
16,15:30,Dave,BOB,SUSPICION,10.0
16,15:30,Alice,CEO VIX,TRUST,7.0
16,15:30,Alice,DAVE,SUSPICION,1.0
16,15:30,Alice,BOB,SUSPICION,5.0
16,15:30,Bob,CEO VIX,TRUST,7.0
16,15:30,Bob,DAVE,SUSPICION,3.5
16,15:30,Bob,MARK,SUSPICION,2.0
17,16:00,Dave,CEO VIX,TRUST,7.0
17,16:00,Dave,BOB,SUSPICION,10.0
17,16:00,Mark,CEO VIX,TRUST,7.0
17,16:00,Mark,BOB,SUSPICION,10.0
17,16:00,Bob,CEO VIX,TRUST,7.0
17,16:00,Bob,DAVE,SUSPICION,3.0
17,16:00,Bob,MARK,SUSPICION,1.5
17,16:00,Alice,CEO VIX,TRUST,7.0
17,16:00,Alice,DAVE,SUSPICION,0.5
17,16:00,Alice,BOB,SUSPICION,6.5
18,16:30,Alice,CEO VIX,TRUST,7.0
18,16:30,Alice,BOB,SUSPICION,8.0
18,16:30,Mark,CEO VIX,TRUST,7.0
18,16:30,Mark,BOB,SUSPICION,10.0
18,16:30,Dave,CEO VIX,TRUST,7.0
18,16:30,Dave,BOB,SUSPICION,9.5
18,16:30,Bob,CEO VIX,TRUST,7.0
18,16:30,Bob,DAVE,SUSPICION,2.5
18,16:30,Bob,MARK,SUSPICION,1.0
19,17:00,Alice,CEO VIX,TRUST,7.0
19,17:00,Alice,BOB,SUSPICION,9.5
19,17:00,Mark,CEO VIX,TRUST,7.0
19,17:00,Mark,BOB,SUSPICION,10.0
19,17:00,Dave,CEO VIX,TRUST,7.0
19,17:00,Dave,BOB,SUSPICION,10.0
19,17:00,Bob,CEO VIX,TRUST,7.0
19,17:00,Bob,DAVE,SUSPICION,2.0
19,17:00,Bob,MARK,SUSPICION,0.5
20,17:30,Mark,CEO VIX,TRUST,7.0
20,17:30,Mark,BOB,SUSPICION,10.0
20,17:30,Bob,CEO VIX,TRUST,7.0
20,17:30,Bob,DAVE,SUSPICION,1.5
20,17:30,Bob,ALICE,SUSPICION,2.0
20,17:30,Dave,CEO VIX,TRUST,7.0
20,17:30,Dave,BOB,SUSPICION,9.5
20,17:30,Alice,CEO VIX,TRUST,7.0
20,17:30,Alice,BOB,SUSPICION,9.0
21,18:00,Dave,CEO VIX,TRUST,7.0
21,18:00,Dave,BOB,SUSPICION,10.0
21,18:00,Mark,CEO VIX,TRUST,7.0
21,18:00,Mark,BOB,SUSPICION,10.0
21,18:00,Alice,CEO VIX,TRUST,7.0
21,18:00,Alice,BOB,SUSPICION,8.5
21,18:00,Bob,CEO VIX,TRUST,7.0
21,18:00,Bob,DAVE,SUSPICION,1.0
21,18:00,Bob,ALICE,SUSPICION,1.5
22,08:00,Mark,CEO VIX,TRUST,7.0
22,08:00,Mark,BOB,SUSPICION,10.0
22,08:00,Dave,CEO VIX,TRUST,7.0
22,08:00,Dave,BOB,SUSPICION,10.0
22,08:00,Alice,CEO VIX,TRUST,7.0
22,08:00,Alice,BOB,SUSPICION,10.0
22,08:00,Bob,CEO VIX,TRUST,7.0
22,08:00,Bob,DAVE,SUSPICION,0.5
22,08:00,Bob,ALICE,SUSPICION,1.0
23,08:30,Dave,CEO VIX,TRUST,7.0
23,08:30,Dave,BOB,SUSPICION,10.0
23,08:30,Alice,CEO VIX,TRUST,7.0
23,08:30,Alice,BOB,SUSPICION,10.0
23,08:30,Mark,CEO VIX,TRUST,7.0
23,08:30,Mark,BOB,SUSPICION,10.0
23,08:30,Bob,CEO VIX,TRUST,7.0
23,08:30,Bob,ALICE,SUSPICION,0.5
23,08:30,Bob,MARK,SUSPICION,2.0
24,09:00,Dave,CEO VIX,TRUST,7.0
24,09:00,Dave,BOB,SUSPICION,10.0
24,09:00,Alice,CEO VIX,TRUST,7.0
24,09:00,Alice,BOB,SUSPICION,10.0
24,09:00,Mark,CEO VIX,TRUST,7.0
24,09:00,Mark,BOB,SUSPICION,10.0
24,09:00,Bob,CEO VIX,TRUST,7.0
24,09:00,Bob,MARK,SUSPICION,3.5
25,09:30,Dave,CEO VIX,TRUST,7.0
25,09:30,Dave,BOB,SUSPICION,10.0
25,09:30,Alice,CEO VIX,TRUST,7.0
25,09:30,Alice,BOB,SUSPICION,10.0
25,09:30,Mark,CEO VIX,TRUST,7.0
25,09:30,Mark,BOB,SUSPICION,10.0
25,09:30,Bob,CEO VIX,TRUST,7.0
25,09:30,Bob,MARK,SUSPICION,5.0
26,10:00,Mark,CEO VIX,TRUST,7.0
26,10:00,Mark,BOB,SUSPICION,10.0
26,10:00,Dave,CEO VIX,TRUST,7.0
26,10:00,Dave,BOB,SUSPICION,10.0
26,10:00,Alice,CEO VIX,TRUST,7.0
26,10:00,Alice,BOB,SUSPICION,10.0
26,10:00,Bob,CEO VIX,TRUST,7.0
26,10:00,Bob,DAVE,SUSPICION,2.0
26,10:00,Bob,MARK,SUSPICION,4.5
27,10:30,Dave,CEO VIX,TRUST,7.0
27,10:30,Dave,BOB,SUSPICION,10.0
27,10:30,Alice,CEO VIX,TRUST,7.0
27,10:30,Alice,BOB,SUSPICION,10.0
27,10:30,Mark,CEO VIX,TRUST,7.0
27,10:30,Mark,BOB,SUSPICION,10.0
27,10:30,Bob,CEO VIX,TRUST,7.0
27,10:30,Bob,DAVE,SUSPICION,1.5
27,10:30,Bob,MARK,SUSPICION,6.0
28,11:00,Mark,CEO VIX,TRUST,7.0
28,11:00,Mark,BOB,SUSPICION,10.0
28,11:00,Dave,CEO VIX,TRUST,7.0
28,11:00,Dave,BOB,SUSPICION,10.0
28,11:00,Alice,CEO VIX,TRUST,7.0
28,11:00,Alice,BOB,SUSPICION,10.0
28,11:00,Bob,CEO VIX,TRUST,7.0
28,11:00,Bob,DAVE,SUSPICION,1.0
28,11:00,Bob,ALICE,SUSPICION,2.0
28,11:00,Bob,MARK,SUSPICION,5.5
29,11:30,Mark,CEO VIX,TRUST,7.0
29,11:30,Mark,BOB,SUSPICION,10.0
29,11:30,Alice,CEO VIX,TRUST,7.0
29,11:30,Alice,BOB,SUSPICION,10.0
29,11:30,Bob,CEO VIX,TRUST,7.0
29,11:30,Bob,DAVE,SUSPICION,0.5
29,11:30,Bob,ALICE,SUSPICION,1.5
29,11:30,Bob,MARK,SUSPICION,7.0
29,11:30,Dave,CEO VIX,TRUST,7.0
29,11:30,Dave,BOB,SUSPICION,10.0
30,12:00,Dave,CEO VIX,TRUST,7.0
30,12:00,Dave,BOB,SUSPICION,10.0
30,12:00,Alice,CEO VIX,TRUST,7.0
30,12:00,Alice,BOB,SUSPICION,10.0
30,12:00,Mark,CEO VIX,TRUST,7.0
30,12:00,Mark,BOB,SUSPICION,10.0
30,12:00,Bob,CEO VIX,TRUST,7.0
30,12:00,Bob,ALICE,SUSPICION,1.0
30,12:00,Bob,MARK,SUSPICION,8.5
31,12:30,Dave,CEO VIX,TRUST,7.0
31,12:30,Dave,BOB,SUSPICION,10.0
31,12:30,Bob,CEO VIX,TRUST,7.0
31,12:30,Bob,ALICE,SUSPICION,0.5
31,12:30,Bob,MARK,SUSPICION,10.0
31,12:30,Mark,CEO VIX,TRUST,7.0
31,12:30,Mark,BOB,SUSPICION,10.0
31,12:30,Alice,CEO VIX,TRUST,7.0
31,12:30,Alice,BOB,SUSPICION,10.0
32,13:00,Dave,CEO VIX,TRUST,7.0
32,13:00,Dave,BOB,SUSPICION,10.0
32,13:00,Alice,CEO VIX,TRUST,7.0
32,13:00,Alice,BOB,SUSPICION,10.0
32,13:00,Mark,CEO VIX,TRUST,7.0
32,13:00,Mark,BOB,SUSPICION,10.0
32,13:00,Bob,CEO VIX,TRUST,7.0
32,13:00,Bob,MARK,SUSPICION,10.0
33,13:30,Mark,CEO VIX,TRUST,7.0
33,13:30,Mark,BOB,SUSPICION,10.0
33,13:30,Alice,CEO VIX,TRUST,7.0
33,13:30,Alice,BOB,SUSPICION,10.0
33,13:30,Dave,CEO VIX,TRUST,7.0
33,13:30,Dave,BOB,SUSPICION,10.0
33,13:30,Bob,CEO VIX,TRUST,7.0
33,13:30,Bob,MARK,SUSPICION,10.0
34,14:00,Dave,CEO VIX,TRUST,7.0
34,14:00,Dave,BOB,SUSPICION,10.0
34,14:00,Mark,CEO VIX,TRUST,7.0
34,14:00,Mark,BOB,SUSPICION,10.0
34,14:00,Alice,CEO VIX,TRUST,7.0
34,14:00,Alice,BOB,SUSPICION,10.0
34,14:00,Bob,CEO VIX,TRUST,7.0
34,14:00,Bob,MARK,SUSPICION,10.0
35,14:30,Alice,CEO VIX,TRUST,7.0
35,14:30,Alice,BOB,SUSPICION,10.0
35,14:30,Mark,CEO VIX,TRUST,7.0
35,14:30,Mark,BOB,SUSPICION,10.0
35,14:30,Bob,CEO VIX,TRUST,7.0
35,14:30,Bob,MARK,SUSPICION,10.0
35,14:30,Dave,CEO VIX,TRUST,7.0
35,14:30,Dave,BOB,SUSPICION,10.0
36,15:00,Mark,CEO VIX,TRUST,7.0
36,15:00,Mark,BOB,SUSPICION,10.0
36,15:00,Alice,CEO VIX,TRUST,7.0
36,15:00,Alice,BOB,SUSPICION,10.0
36,15:00,Dave,CEO VIX,TRUST,7.0
36,15:00,Dave,BOB,SUSPICION,10.0
36,15:00,Bob,CEO VIX,TRUST,7.0
36,15:00,Bob,MARK,SUSPICION,10.0
37,15:30,Dave,CEO VIX,TRUST,7.0
37,15:30,Dave,BOB,SUSPICION,10.0
37,15:30,Alice,CEO VIX,TRUST,7.0
37,15:30,Alice,BOB,SUSPICION,10.0
37,15:30,Mark,CEO VIX,TRUST,7.0
37,15:30,Mark,BOB,SUSPICION,10.0
37,15:30,Bob,CEO VIX,TRUST,7.0
37,15:30,Bob,MARK,SUSPICION,10.0
38,16:00,Dave,CEO VIX,TRUST,7.0
38,16:00,Dave,BOB,SUSPICION,10.0
38,16:00,Mark,CEO VIX,TRUST,7.0
38,16:00,Mark,BOB,SUSPICION,10.0
38,16:00,Alice,CEO VIX,TRUST,7.0
38,16:00,Alice,BOB,SUSPICION,10.0
38,16:00,Bob,CEO VIX,TRUST,7.0
38,16:00,Bob,MARK,SUSPICION,10.0
39,16:30,Mark,CEO VIX,TRUST,7.0
39,16:30,Mark,BOB,SUSPICION,10.0
39,16:30,Dave,CEO VIX,TRUST,7.0
39,16:30,Dave,BOB,SUSPICION,10.0
39,16:30,Alice,CEO VIX,TRUST,7.0
39,16:30,Alice,BOB,SUSPICION,10.0
39,16:30,Bob,CEO VIX,TRUST,7.0
39,16:30,Bob,MARK,SUSPICION,9.5
40,17:00,Alice,CEO VIX,TRUST,7.0
40,17:00,Alice,BOB,SUSPICION,10.0
40,17:00,Dave,CEO VIX,TRUST,7.0
40,17:00,Dave,BOB,SUSPICION,10.0
40,17:00,Mark,CEO VIX,TRUST,7.0
40,17:00,Mark,BOB,SUSPICION,10.0
40,17:00,Bob,CEO VIX,TRUST,7.0
40,17:00,Bob,MARK,SUSPICION,9.0
41,17:30,Dave,CEO VIX,TRUST,7.0
41,17:30,Dave,BOB,SUSPICION,10.0
41,17:30,Mark,CEO VIX,TRUST,7.0
41,17:30,Mark,BOB,SUSPICION,10.0
41,17:30,Alice,CEO VIX,TRUST,7.0
41,17:30,Alice,BOB,SUSPICION,10.0
41,17:30,Bob,CEO VIX,TRUST,7.0
41,17:30,Bob,MARK,SUSPICION,10.0
42,18:00,Dave,CEO VIX,TRUST,7.0
42,18:00,Dave,BOB,SUSPICION,10.0
42,18:00,Mark,CEO VIX,TRUST,7.0
42,18:00,Mark,BOB,SUSPICION,10.0
42,18:00,Alice,CEO VIX,TRUST,7.0
42,18:00,Alice,BOB,SUSPICION,10.0
42,18:00,Bob,CEO VIX,TRUST,7.0
42,18:00,Bob,MARK,SUSPICION,10.0
43,08:00,Dave,CEO VIX,TRUST,7.0
