Tick,Time,Agent,Intent,Stress,Trust,TaskProgress,IsFallback
1,08:00,Bob,DEEP_WORK,3,7.0,20,False
1,08:00,Alice,DEEP_WORK,1,7.0,24,False
1,08:00,Mark,DEEP_WORK,4,7.0,20,False
1,08:00,Dave,DEEP_WORK,8,7.0,21,False
2,08:30,Dave,DEEP_WORK,3,7.0,44,False
2,08:30,Alice,COLLABORATE,2,7.0,30,False
2,08:30,Mark,DEEP_WORK,4,7.0,39,False
2,08:30,Bob,DEEP_WORK,3,7.0,35,False
3,09:00,Alice,SOCIALIZE,2,7.3,30,False
3,09:00,Dave,SOCIALIZE,5,7.0,44,False
3,09:00,Mark,SOCIALIZE,4,7.3,39,False
3,09:00,Bob,DEEP_WORK,3,7.3,59,False
4,09:30,Bob,DEEP_WORK,3,7.6,75,False
4,09:30,Dave,SOCIALIZE,2,7.3,44,False
4,09:30,Alice,DEEP_WORK,5,7.3,52,False
4,09:30,Mark,DEEP_WORK,5,7.3,59,True
5,10:00,Dave,SOCIALIZE,2,7.6,44,False
5,10:00,Alice,COLLABORATE,2,7.6,60,False
5,10:00,Mark,COLLABORATE,8,6.5,65,False
5,10:00,Bob,DEEP_WORK,5,7.6,100,True
6,10:30,Dave,DEEP_WORK,7,7.6,64,False
6,10:30,Alice,DEEP_WORK,8,7.6,77,False
6,10:30,Mark,DEEP_WORK,5,6.5,87,True
6,10:30,Bob,DEEP_WORK,5,7.6,100,True
7,11:00,Bob,SOCIALIZE,4,7.6,100,False
7,11:00,Alice,DEEP_WORK,3,7.6,95,False
7,11:00,Dave,COLLABORATE,2,7.6,69,False
7,11:00,Mark,DEEP_WORK,9,6.5,100,False
8,11:30,Mark,SOCIALIZE,3,6.8,100,False
8,11:30,Alice,SOCIALIZE,2,7.9,95,False
8,11:30,Bob,SOCIALIZE,2,7.9,100,False
8,11:30,Dave,SOCIALIZE,5,7.6,69,False
9,12:00,Alice,DEEP_WORK,2,8.2,100,False
9,12:00,Dave,DEEP_WORK,9,6.8,85,False
9,12:00,Mark,DEEP_WORK,5,6.8,100,True
9,12:00,Bob,DEEP_WORK,5,7.9,100,True
10,12:30,Mark,SOCIALIZE,5,6.8,100,False
10,12:30,Dave,DEEP_WORK,4,6.8,100,False
10,12:30,Alice,SOCIALIZE,2,8.2,100,False
10,12:30,Bob,DEEP_WORK,5,7.9,100,True
11,13:00,Alice,SOCIALIZE,2,8.5,100,False
11,13:00,Bob,SOCIALIZE,3,8.2,100,False
11,13:00,Dave,SOCIALIZE,2,7.1,100,False
11,13:00,Mark,SOCIALIZE,3,7.1,100,False
12,13:30,Alice,SOCIALIZE,3,8.5,100,False
12,13:30,Bob,SOCIALIZE,2,8.2,100,False
12,13:30,Dave,SOCIALIZE,2,7.1,100,False
12,13:30,Mark,DEEP_WORK,5,7.1,100,True
13,14:00,Bob,MITIGATE,9,8.2,100,False
13,14:00,Alice,PANIC,9,8.5,100,False
13,14:00,Dave,MITIGATE,9,7.1,100,False
13,14:00,Mark,DEEP_WORK,8,7.1,100,False
14,14:30,Alice,DEEP_WORK,6,8.5,100,False
14,14:30,Bob,DEEP_WORK,6,8.2,100,False
14,14:30,Dave,DEEP_WORK,6,7.1,100,False
14,14:30,Mark,DEEP_WORK,8,7.1,100,False
15,15:00,Alice,SOCIALIZE,2,8.8,100,False
15,15:00,Dave,SOCIALIZE,2,7.4,100,False
15,15:00,Bob,SOCIALIZE,3,8.5,100,False
15,15:00,Mark,SOCIALIZE,4,7.4,100,False
16,15:30,Alice,SOCIALIZE,4,9.1,100,False
16,15:30,Dave,SOCIALIZE,2,7.7,100,False
16,15:30,Mark,DEEP_WORK,5,7.4,100,True
16,15:30,Bob,SOCIALIZE,2,8.8,100,False
17,16:00,Bob,DEEP_WORK,7,8.8,100,False
17,16:00,Alice,DEEP_WORK,5,9.1,100,False
17,16:00,Mark,DEEP_WORK,8,7.4,100,False
17,16:00,Dave,DEEP_WORK,5,7.7,100,True
18,16:30,Bob,MITIGATE,9,8.8,100,False
18,16:30,Alice,PANIC,9,9.1,100,False
18,16:30,Dave,PANIC,10,7.7,100,False
18,16:30,Mark,PANIC,9,7.4,100,False
19,17:00,Dave,SOCIALIZE,3,7.7,100,False
19,17:00,Alice,SOCIALIZE,3,9.1,100,False
19,17:00,Bob,DEEP_WORK,5,8.8,100,True
19,17:00,Mark,DEEP_WORK,5,7.4,100,True
20,17:30,Bob,DEEP_WORK,9,8.0,100,False
20,17:30,Dave,SOCIALIZE,9,6.9,100,False
20,17:30,Mark,DEEP_WORK,9,6.6,100,False
20,17:30,Alice,SOCIALIZE,2,9.4,100,False
21,18:00,Bob,DEEP_WORK,9,8.0,100,False
21,18:00,Alice,SOCIALIZE,5,9.4,100,False
21,18:00,Dave,DEEP_WORK,8,6.9,100,False
21,18:00,Mark,SOCIALIZE,8,6.6,100,False
22,18:30,Bob,MITIGATE,9,8.0,100,False
22,18:30,Alice,PANIC,9,9.4,100,False
22,18:30,Dave,DEEP_WORK,8,6.9,100,False
