Tick,Time,Agent,Intent,Stress,Trust,TaskProgress,Suspect,IsFallback
1,08:00,Alice,DEEP_WORK,3,7.0,15,NONE,False
1,08:00,Bob,DEEP_WORK,2,7.0,18,NONE,False
1,08:00,Dave,DEEP_WORK,4,7.0,17,NONE,False
1,08:00,Mark,DEEP_WORK,4,7.0,23,NONE,False
2,08:30,Alice,DEEP_WORK,2,7.0,40,DAVE,False
2,08:30,Dave,DEEP_WORK,3,7.0,35,BOB,False
2,08:30,Mark,DEEP_WORK,5,7.0,47,NONE,False
2,08:30,Bob,DEEP_WORK,6,7.0,39,NONE,False
3,09:00,Mark,DEEP_WORK,6,7.0,64,NONE,False
3,09:00,Dave,DEEP_WORK,3,7.0,56,MARK,False
3,09:00,Bob,DEEP_WORK,3,7.0,60,MARK,False
3,09:00,Alice,DEEP_WORK,2,7.0,58,MARK,False
4,09:30,Bob,DEEP_WORK,2,7.0,76,DAVE,False
4,09:30,Alice,DEEP_WORK,4,7.0,82,DAVE,False
4,09:30,Dave,COLLABORATE,8,7.0,66,MARK,False
4,09:30,Mark,DEEP_WORK,9,7.0,86,BOB,False
5,10:00,Mark,DEEP_WORK,2,7.0,100,DAVE,False
5,10:00,Alice,DEEP_WORK,5,7.0,100,DAVE,False
5,10:00,Dave,COLLABORATE,3,7.0,71,MARK,False
5,10:00,Bob,DEEP_WORK,4,7.0,99,DAVE,False
6,10:30,Mark,SOCIALIZE,3,7.0,100,DAVE,False
6,10:30,Dave,DEEP_WORK,9,7.0,93,MARK,False
6,10:30,Bob,DEEP_WORK,4,7.0,100,DAVE,False
6,10:30,Alice,SOCIALIZE,5,7.0,100,MARK,False
7,11:00,Alice,SOCIALIZE,3,7.0,100,MARK,False
7,11:00,Dave,DEEP_WORK,5,7.0,100,MARK,False
7,11:00,Mark,SOCIALIZE,3,7.0,100,DAVE,False
7,11:00,Bob,SOCIALIZE,2,7.0,100,MARK,False
8,11:30,Alice,SOCIALIZE,3,7.0,100,NONE,False
8,11:30,Bob,SOCIALIZE,3,7.0,100,DAVE,False
8,11:30,Mark,SOCIALIZE,2,7.0,100,DAVE,False
8,11:30,Dave,SOCIALIZE,2,7.0,100,MARK,False
9,12:00,Alice,SOCIALIZE,3,7.0,100,DAVE,False
9,12:00,Mark,SOCIALIZE,7,7.0,100,DAVE,False
9,12:00,Bob,SOCIALIZE,3,7.0,100,DAVE,False
9,12:00,Dave,DEEP_WORK,5,7.0,100,NONE,True
10,12:30,Bob,SOCIALIZE,2,7.0,100,NONE,False
10,12:30,Mark,SOCIALIZE,3,7.0,100,NONE,False
10,12:30,Alice,SOCIALIZE,3,7.0,100,DAVE,False
10,12:30,Dave,SOCIALIZE,8,7.0,100,BOB,False
11,13:00,Alice,SOCIALIZE,1,7.0,100,MARK,False
11,13:00,Mark,SOCIALIZE,2,7.0,100,BOB,False
11,13:00,Bob,SOCIALIZE,3,7.0,100,MARK,False
11,13:00,Dave,SOCIALIZE,3,7.0,100,MARK,False
12,13:30,Mark,SOCIALIZE,3,7.0,100,DAVE,False
12,13:30,Bob,SOCIALIZE,2,7.0,100,NONE,False
12,13:30,Alice,SOCIALIZE,2,7.0,100,BOB,False
12,13:30,Dave,SOCIALIZE,2,7.0,100,MARK,False
13,14:00,Alice,SOCIALIZE,3,7.0,100,NONE,False
13,14:00,Mark,SOCIALIZE,8,7.0,100,BOB,False
13,14:00,Dave,SOCIALIZE,2,7.0,100,BOB,False
13,14:00,Bob,SOCIALIZE,3,7.0,100,NONE,False
14,14:30,Mark,SOCIALIZE,8,7.0,100,DAVE,False
14,14:30,Bob,SOCIALIZE,2,7.0,100,MARK,False
14,14:30,Dave,SOCIALIZE,6,7.0,100,BOB,False
14,14:30,Alice,DEEP_WORK,5,7.0,100,NONE,True
15,15:00,Mark,SOCIALIZE,8,7.0,100,DAVE,False
15,15:00,Alice,SOCIALIZE,3,7.0,100,MARK,False
15,15:00,Bob,SOCIALIZE,3,7.0,100,MARK,False
15,15:00,Dave,SOCIALIZE,4,7.0,100,BOB,False
16,15:30,Bob,SOCIALIZE,2,7.3,100,NONE,False
16,15:30,Mark,SOCIALIZE,2,7.3,100,NONE,False
16,15:30,Alice,SOCIALIZE,2,7.3,100,NONE,False
16,15:30,Dave,SOCIALIZE,2,7.3,100,NONE,False
